div,season,date,team,gameno,home,points,goals,team_opponent,points_opponent,goals_opponent,hometeam_uid,awayteam_uid
E0,2008,16aug2008,Arsenal,1,1,3,1,West Brom,0,0,1,33
E0,2008,23aug2008,Arsenal,2,0,0,0,Fulham,3,1,14,1
E0,2008,30aug2008,Arsenal,3,1,3,3,Newcastle,0,0,1,22
E0,2008,13sep2008,Arsenal,4,0,3,4,Blackburn,0,0,4,1
E0,2008,20sep2008,Arsenal,5,0,3,3,Bolton,0,1,6,1
E0,2008,27sep2008,Arsenal,6,1,0,1,Hull,3,2,1,16
E0,2008,04oct2008,Arsenal,7,0,1,1,Sunderland,1,1,29,1
E0,2008,18oct2008,Arsenal,8,1,3,3,Everton,0,1,1,13
E0,2008,26oct2008,Arsenal,9,0,3,2,West Ham,0,0,34,1
E0,2008,29oct2008,Arsenal,10,1,1,4,Tottenham,1,4,1,31
E0,2008,01nov2008,Arsenal,11,0,0,1,Stoke,3,2,28,1
E0,2008,08nov2008,Arsenal,12,1,3,2,Man United,0,1,1,20
E0,2008,15nov2008,Arsenal,13,1,0,0,Aston Villa,3,2,1,2
E0,2008,22nov2008,Arsenal,14,0,0,0,Man City,3,3,19,1
E0,2008,30nov2008,Arsenal,15,0,3,2,Chelsea,0,1,11,1
E0,2008,06dec2008,Arsenal,16,1,3,1,Wigan,0,0,1,35
E0,2008,13dec2008,Arsenal,17,0,1,1,Middlesbrough,1,1,21,1
E0,2008,21dec2008,Arsenal,18,1,1,1,Liverpool,1,1,1,18
E0,2008,26dec2008,Arsenal,19,0,1,2,Aston Villa,1,2,2,1
E0,2008,28dec2008,Arsenal,20,1,3,1,Portsmouth,0,0,1,24
E0,2008,10jan2009,Arsenal,21,1,3,1,Bolton,0,0,1,6
E0,2008,17jan2009,Arsenal,22,0,3,3,Hull,0,1,16,1
E0,2008,28jan2009,Arsenal,23,0,1,1,Everton,1,1,13,1
E0,2008,31jan2009,Arsenal,24,1,1,0,West Ham,1,0,1,34
E0,2008,08feb2009,Arsenal,25,0,1,0,Tottenham,1,0,31,1
E0,2008,21feb2009,Arsenal,26,1,1,0,Sunderland,1,0,1,29
E0,2008,28feb2009,Arsenal,27,1,1,0,Fulham,1,0,1,14
E0,2008,03mar2009,Arsenal,28,0,3,3,West Brom,0,1,33,1
E0,2008,14mar2009,Arsenal,29,1,3,4,Blackburn,0,0,1,4
E0,2008,21mar2009,Arsenal,30,0,3,3,Newcastle,0,1,22,1
E0,2008,04apr2009,Arsenal,31,1,3,2,Man City,0,0,1,19
E0,2008,11apr2009,Arsenal,32,0,3,4,Wigan,0,1,35,1
E0,2008,21apr2009,Arsenal,33,0,1,4,Liverpool,1,4,18,1
E0,2008,26apr2009,Arsenal,34,1,3,2,Middlesbrough,0,0,1,21
E0,2008,02may2009,Arsenal,35,0,3,3,Portsmouth,0,0,24,1
E0,2008,10may2009,Arsenal,36,1,0,1,Chelsea,3,4,1,11
E0,2008,16may2009,Arsenal,37,0,1,0,Man United,1,0,20,1
E0,2008,24may2009,Arsenal,38,1,3,4,Stoke,0,1,1,28
E0,2009,15aug2009,Arsenal,1,0,3,6,Everton,0,1,13,1
E0,2009,22aug2009,Arsenal,2,1,3,4,Portsmouth,0,1,1,24
E0,2009,29aug2009,Arsenal,3,0,0,1,Man United,3,2,20,1
E0,2009,12sep2009,Arsenal,4,0,0,2,Man City,3,4,19,1
E0,2009,19sep2009,Arsenal,5,1,3,4,Wigan,0,0,1,35
E0,2009,26sep2009,Arsenal,6,0,3,1,Fulham,0,0,14,1
E0,2009,04oct2009,Arsenal,7,1,3,6,Blackburn,0,2,1,4
E0,2009,17oct2009,Arsenal,8,1,3,3,Birmingham,0,1,1,3
E0,2009,25oct2009,Arsenal,9,0,1,2,West Ham,1,2,34,1
E0,2009,31oct2009,Arsenal,10,1,3,3,Tottenham,0,0,1,31
E0,2009,07nov2009,Arsenal,11,0,3,4,Wolves,0,1,36,1
E0,2009,21nov2009,Arsenal,12,0,0,0,Sunderland,3,1,29,1
E0,2009,29nov2009,Arsenal,13,1,0,0,Chelsea,3,3,1,11
E0,2009,05dec2009,Arsenal,14,1,3,2,Stoke,0,0,1,28
E0,2009,13dec2009,Arsenal,15,0,3,2,Liverpool,0,1,18,1
E0,2009,16dec2009,Arsenal,16,0,1,1,Burnley,1,1,9,1
E0,2009,19dec2009,Arsenal,17,1,3,3,Hull,0,0,1,16
E0,2009,27dec2009,Arsenal,18,1,3,3,Aston Villa,0,0,1,2
E0,2009,30dec2009,Arsenal,19,0,3,4,Portsmouth,0,1,24,1
E0,2009,09jan2010,Arsenal,20,1,1,2,Everton,1,2,1,13
E0,2009,17jan2010,Arsenal,21,0,3,2,Bolton,0,0,6,1
E0,2009,20jan2010,Arsenal,22,1,3,4,Bolton,0,2,1,6
E0,2009,27jan2010,Arsenal,23,0,1,0,Aston Villa,1,0,2,1
E0,2009,31jan2010,Arsenal,24,1,0,1,Man United,3,3,1,20
E0,2009,07feb2010,Arsenal,25,0,0,0,Chelsea,3,2,11,1
E0,2009,10feb2010,Arsenal,26,1,3,1,Liverpool,0,0,1,18
E0,2009,20feb2010,Arsenal,27,1,3,2,Sunderland,0,0,1,29
E0,2009,27feb2010,Arsenal,28,0,3,3,Stoke,0,1,28,1
E0,2009,06mar2010,Arsenal,29,1,3,3,Burnley,0,1,1,9
E0,2009,13mar2010,Arsenal,30,0,3,2,Hull,0,1,16,1
E0,2009,20mar2010,Arsenal,31,1,3,2,West Ham,0,0,1,34
E0,2009,27mar2010,Arsenal,32,0,1,1,Birmingham,1,1,3,1
E0,2009,03apr2010,Arsenal,33,1,3,1,Wolves,0,0,1,36
E0,2009,14apr2010,Arsenal,34,0,0,1,Tottenham,3,2,31,1
E0,2009,18apr2010,Arsenal,35,0,0,2,Wigan,3,3,35,1
E0,2009,24apr2010,Arsenal,36,1,1,0,Man City,1,0,1,19
E0,2009,03may2010,Arsenal,37,0,0,1,Blackburn,3,2,4,1
E0,2009,09may2010,Arsenal,38,1,3,4,Fulham,0,0,1,14
