season,team,points_season,goaldiff_season
2007,Arsenal,83.0,43.0
2008,Arsenal,72.0,31.0
2009,Arsenal,75.0,42.0
2010,Arsenal,68.0,29.0
2011,Arsenal,70.0,25.0
2012,Arsenal,73.0,35.0
2013,Arsenal,79.0,27.0
2014,Arsenal,75.0,35.0
2015,Arsenal,71.0,29.0
2016,Arsenal,75.0,33.0
2017,Arsenal,63.0,23.0
2018,Arsenal,70.0,22.0
2007,Aston Villa,60.0,20.0
2008,Aston Villa,62.0,6.0
2009,Aston Villa,64.0,13.0
2010,Aston Villa,48.0,-11.0
2011,Aston Villa,38.0,-16.0
2012,Aston Villa,41.0,-22.0
2013,Aston Villa,38.0,-22.0
2014,Aston Villa,38.0,-26.0
2015,Aston Villa,17.0,-49.0
2007,Birmingham,35.0,-16.0
2009,Birmingham,50.0,-9.0
2010,Birmingham,39.0,-21.0
2007,Blackburn,58.0,2.0
2008,Blackburn,41.0,-20.0
2009,Blackburn,50.0,-14.0
2010,Blackburn,43.0,-13.0
2011,Blackburn,31.0,-30.0
2010,Blackpool,39.0,-23.0
2007,Bolton,37.0,-18.0
2008,Bolton,41.0,-12.0
2009,Bolton,39.0,-25.0
2010,Bolton,46.0,-4.0
2011,Bolton,36.0,-31.0
2015,Bournemouth,42.0,-22.0
2016,Bournemouth,46.0,-12.0
2017,Bournemouth,44.0,-16.0
2018,Bournemouth,45.0,-14.0
2017,Brighton,40.0,-20.0
2018,Brighton,36.0,-25.0
2009,Burnley,30.0,-40.0
2014,Burnley,33.0,-25.0
2016,Burnley,40.0,-16.0
2017,Burnley,54.0,-3.0
2018,Burnley,40.0,-23.0
2013,Cardiff,30.0,-42.0
2018,Cardiff,34.0,-35.0
2007,Chelsea,85.0,39.0
2008,Chelsea,83.0,44.0
2009,Chelsea,86.0,71.0
2010,Chelsea,71.0,36.0
2011,Chelsea,64.0,19.0
2012,Chelsea,75.0,36.0
2013,Chelsea,82.0,44.0
2014,Chelsea,87.0,41.0
2015,Chelsea,50.0,6.0
2016,Chelsea,93.0,52.0
2017,Chelsea,70.0,24.0
2018,Chelsea,72.0,24.0
