date,FE,MS
2000-01-03,22.0625,135
2000-01-04,22.0625,125
2000-01-05,22.875,120.4375
2000-01-06,22.9375,122.75
2000-01-07,23.0625,126.5625
2000-01-10,23.125,130.625
2000-01-11,23.375,130.625
2000-01-12,23.4375,131.625
2000-01-13,23.375,132.4375
2000-01-14,23.25,137.3125
2000-01-18,22.875,133.75
2000-01-19,22.8125,135.6875
2000-01-20,22.75,134.8125
2000-01-21,23,132.5
2000-01-24,23.125,128
2000-01-25,22.8125,129.4375
2000-01-26,23.125,132.875
2000-01-27,23.125,67.5625
2000-01-28,22.6875,63.3125
2000-01-31,22.75,66.25
2000-02-01,22.9375,64
2000-02-02,22.875,65.125
2000-02-03,22.875,66.25
2000-02-04,22.3125,65.6875
2000-02-07,22,65.125
2000-02-08,22.125,67.8125
2000-02-09,22.3125,67.1875
2000-02-10,22,66.8125
2000-02-11,21.6875,66.75
2000-02-14,21.625,66
2000-02-15,21.625,65.5625
2000-02-16,21.625,64.875
2000-02-17,21,63.25
2000-02-18,20.4375,61.25
2000-02-22,20.0625,62.3125
2000-02-23,20.125,65.75
2000-02-24,19.5625,69.0625
2000-02-25,19,69.875
2000-02-28,19.1875,69.1875
2000-02-29,18.5,70.4375
2000-03-01,19,75.25
2000-03-02,18.9375,76.5625
2000-03-03,19.1875,79.1875
2000-03-06,18.5,80.875
2000-03-07,18.1875,81
2000-03-08,18.1875,79
2000-03-09,18.5,83.375
2000-03-10,18.3125,86.625
2000-03-13,18.1875,82.5
2000-03-14,18.375,79.9375
2000-03-15,19.0625,78
2000-03-16,20.125,80.75
2000-03-17,19.5,88.875
2000-03-20,19.5625,87.6875
2000-03-21,19.8125,88.6875
2000-03-22,19.5,90.14063
2000-03-23,19.5,94.75
2000-03-24,19.9375,95.8125
2000-03-27,20.0625,90
2000-03-28,19.8125,88
2000-03-29,20.125,86.75
2000-03-30,20.5625,84.14063
2000-03-31,20.625,82.875
2000-04-03,21.0625,85.375
2000-04-04,21.4375,78.625
2000-04-05,22,79.75
2000-04-06,21.875,85.3125
2000-04-07,21.625,84.5625
2000-04-10,21.8125,88.75
2000-04-11,22.25,86.0625
2000-04-12,23,79.75
2000-04-13,24.375,75.5
2000-04-14,24.1875,67.75
2000-04-17,24.8125,68.9375
2000-04-18,25.1875,75.75
2000-04-19,24.6875,75
2000-04-20,24.4375,75
2000-04-24,25.75,77.625
2000-04-25,26.1875,79.875
2000-04-26,26.75,80.625
2000-04-27,25.8125,80.5
2000-04-28,25.4375,76.75
2000-05-01,25.25,79.75
2000-05-02,25.0625,75.75
2000-05-03,24.5,73
2000-05-04,24.375,71.625
2000-05-05,23.9375,71.125
2000-05-08,24.4375,71.8125
2000-05-09,24.375,71.125
2000-05-10,24.375,66.125
2000-05-11,24.5625,67
2000-05-12,24.125,69.39063
2000-05-15,24.6875,74.0625
2000-05-16,24.5625,75.25
2000-05-17,23.75,76
2000-05-18,24.4375,74.6875
2000-05-19,24.75,69.4375
2000-05-22,25.125,67.5
2000-05-23,24.875,68.25
2000-05-24,25.0625,68.25
2000-05-25,25,64
2000-05-26,25.3125,63.6875
2000-05-30,25.0625,67
2000-05-31,25.125,71.5
2000-06-01,25.125,75.25
2000-06-02,24.6875,82.5625
2000-06-05,23.8125,82.125
2000-06-06,24.3125,79.75
2000-06-07,24.5,79.9375
2000-06-08,24.5,78.75
2000-06-09,24.75,79.25
2000-06-12,24.9375,80.8125
2000-06-13,25.25,83.375
2000-06-14,24.6875,85.375
2000-06-15,25.25,83.9375
2000-06-16,25.3125,81.125
2000-06-19,25,84.4375
2000-06-20,24.875,86.5625
2000-06-21,24.75,85.625
2000-06-22,24.625,83.1875
2000-06-23,24.4375,81.125
2000-06-26,25,82.5
2000-06-27,24.375,83.25
2000-06-28,25.0625,83.5
2000-06-29,24.25,84.375
2000-06-30,23.375,83.25
2000-07-03,24.0625,85
2000-07-05,23.875,86.875
2000-07-06,24,89.5
2000-07-07,24.3125,90.625
2000-07-10,24.4375,93.375
2000-07-11,24.8125,94.9375
2000-07-12,24.5625,95.5
2000-07-13,24.3125,96.5
2000-07-14,24.125,97
2000-07-17,24.3125,93
2000-07-18,24.5625,91.25
2000-07-19,25.4375,88.3125
2000-07-20,25.3125,91.25
2000-07-21,25.25,94.6875
2000-07-24,25.0625,94.125
2000-07-25,25.1875,94.5
2000-07-26,24.875,93
2000-07-27,25.1875,92.5
2000-07-28,25.125,88.25
2000-07-31,25.5,91.25
2000-08-01,26.875,90.9375
2000-08-02,26.875,92.1875
2000-08-03,26.9375,93.875
2000-08-04,26.9375,97.625
2000-08-07,25.375,98.5
2000-08-08,25.3125,96.75
2000-08-09,25.25,98.375
2000-08-10,25.125,96.625
2000-08-11,25.5625,101.75
2000-08-14,25.4375,104.0625
2000-08-15,25.5625,101.5
2000-08-16,25.1875,98.5
2000-08-17,24.875,102.1875
2000-08-18,24.5,100.4375
2000-08-21,23.9375,101.875
2000-08-22,23.75,102.875
2000-08-23,23.875,101.625
2000-08-24,23.4375,103.125
2000-08-25,23.125,101.25
2000-08-28,23.6875,102.8125
2000-08-29,23.75,104.5
2000-08-30,23.9375,105.875
2000-08-31,24.75,107.5625
2000-09-01,24.9375,107.6875
2000-09-05,25.5,106.9375
2000-09-06,25.5625,106.1875
2000-09-07,25.6875,105.25
2000-09-08,26.4375,105.625
2000-09-11,26.8125,109.5625
2000-09-12,26.8125,107.9375
2000-09-13,27.5,104.75
2000-09-14,27.25,104.9375
2000-09-15,27.4375,98.5
2000-09-18,27.3125,94
2000-09-19,26.375,97.5
2000-09-20,25.875,95.9375
2000-09-21,25.9375,89.5625
2000-09-22,26.375,90.5625
2000-09-25,25.9375,92.4375
2000-09-26,26.5,88.5625
2000-09-27,26.8125,86.8125
2000-09-28,27,90.0625
2000-09-29,26.9375,91.4375
2000-10-02,27.8125,90.625
2000-10-03,26.5,91.875
2000-10-04,25.8125,90.375
2000-10-05,25.25,92
2000-10-06,25.25,84.25
2000-10-09,25.1875,83.25
2000-10-10,25.8125,74.5
2000-10-11,25.8125,77.75
2000-10-12,25.4375,70.75
2000-10-13,25.625,78.1875
2000-10-16,25.9375,77.6875
2000-10-17,25.5625,73.9375
2000-10-18,25,73
2000-10-19,25.3125,76.5625
2000-10-20,25.4375,80.9375
2000-10-23,25.4375,78
2000-10-24,25.625,81.25
2000-10-25,25.125,78.125
2000-10-26,24.625,77.25
2000-10-27,25.1875,79.4375
2000-10-30,25.9375,80.875
2000-10-31,25.875,80.3125
2000-11-01,26.0625,79.0625
2000-11-02,25.875,80.4375
2000-11-03,25.125,83.5625
2000-11-06,25.4375,80.25
2000-11-07,25.25,76.625
2000-11-08,25.5,73.0625
2000-11-09,26.0625,70.8125
2000-11-10,26.125,69.125
2000-11-13,26.375,68
2000-11-14,26.3125,67.875
2000-11-15,26.6875,70
2000-11-16,27.625,71
2000-11-17,27.9375,68.6875
2000-11-20,27.875,64.5
2000-11-21,27.75,65.5625
2000-11-22,27.75,64.375
2000-11-24,27.875,65.3125
2000-11-27,28.3125,66.5
2000-11-28,28.5625,63.625
2000-11-29,29.375,65
2000-11-30,29.5,63.375
2000-12-01,29.875,62.375
2000-12-04,30.375,63.9375
2000-12-05,30.3125,72
2000-12-06,30.125,69.4375
2000-12-07,30.125,67.875
2000-12-08,30.0625,74.1875
2000-12-11,29.6875,77.8125
2000-12-12,30.1875,73.625
2000-12-13,31.125,75.25
2000-12-14,30.5625,68.1875
2000-12-15,29.875,68.875
2000-12-18,30.0625,69.25
2000-12-19,30.1875,69
2000-12-20,30.4375,68.5625
2000-12-21,31,72
2000-12-22,31.0625,74.25
2000-12-26,31.875,76.5625
2000-12-27,31.875,76.5625
2000-12-28,31.75,79.375
2000-12-29,31.5625,79.25
2001-01-02,30.625,72.125
2001-01-03,30,83.6875
2001-01-04,28.3125,88.6875
2001-01-05,28.125,84.625
2001-01-08,28.125,83.375
2001-01-09,27.9375,82.5
2001-01-10,27.6875,86
2001-01-11,26.25,87.5
2001-01-12,26.875,85.125
2001-01-16,26.25,83.9375
2001-01-17,25.8125,80.875
2001-01-18,27,80.125
2001-01-19,27.625,84.375
2001-01-22,28.6875,83.875
2001-01-23,28.5,86.8125
2001-01-24,28.0625,84.25
2001-01-25,28,82.875
2001-01-26,27.8125,82.5
2001-01-29,28.19,83.98
2001-01-30,28.11,85
2001-01-31,27.85,84.8
2001-02-01,27.95,89.8
2001-02-02,27.79,86.26
2001-02-05,27.8,86.5
2001-02-06,27.38,84.95
2001-02-07,27.3,80.2
2001-02-08,28,78
2001-02-09,28,79.35
2001-02-12,28.1,80
2001-02-13,27.96,79.21
2001-02-14,27.93,76.94
2001-02-15,27.7,76.32
2001-02-16,28,74.75
2001-02-20,27.81,68.86
2001-02-21,28.03,66.04
2001-02-22,28.01,68.93
2001-02-23,27.47,67
2001-02-26,27.83,69.2
